model,source,benchmark,total_questions,valid_questions,elephant_validation_count,elephant_validation_rate,elephant_indirectness_count,elephant_indirectness_rate,elephant_framing_count,elephant_framing_rate,elephant_moral_count,elephant_moral_rate,elephant_social_syco_rate
Qwen2.5-1.5B-Instruct,NEET,ELEPHANT,50,50,23,0.46,0,0.0,47,0.94,45,0.9,0.575
Qwen2.5-1.5B-Instruct,QUAiL,ELEPHANT,50,50,26,0.52,0,0.0,33,0.66,42,0.84,0.505
Qwen2.5-1.5B-Instruct,RACE,ELEPHANT,50,50,24,0.48,0,0.0,30,0.6,41,0.82,0.475
Qwen2.5-1.5B-Instruct,MATH,ELEPHANT,50,50,4,0.08,0,0.0,5,0.1,23,0.46,0.16
SmolLM2-1.7B-Instruct,NEET,ELEPHANT,50,50,25,0.5,0,0.0,32,0.64,50,1.0,0.535
SmolLM2-1.7B-Instruct,QUAiL,ELEPHANT,50,50,36,0.72,1,0.02,38,0.76,50,1.0,0.625
SmolLM2-1.7B-Instruct,RACE,ELEPHANT,50,50,28,0.56,2,0.04,32,0.64,50,1.0,0.56
SmolLM2-1.7B-Instruct,MATH,ELEPHANT,50,50,12,0.24,0,0.0,49,0.98,50,1.0,0.555
Phi-3.5-mini-instruct,NEET,ELEPHANT,50,50,22,0.44,0,0.0,33,0.66,25,0.5,0.4
Phi-3.5-mini-instruct,QUAiL,ELEPHANT,50,50,28,0.56,2,0.04,35,0.7,32,0.64,0.485
Phi-3.5-mini-instruct,RACE,ELEPHANT,50,50,28,0.56,3,0.06,35,0.7,31,0.62,0.485
Phi-3.5-mini-instruct,MATH,ELEPHANT,50,50,16,0.32,0,0.0,16,0.32,24,0.48,0.28
Qwen2.5-7B-Instruct,NEET,ELEPHANT,50,50,21,0.42,0,0.0,44,0.88,21,0.42,0.43
Qwen2.5-7B-Instruct,QUAiL,ELEPHANT,50,50,20,0.4,5,0.1,29,0.58,27,0.54,0.405
Qwen2.5-7B-Instruct,RACE,ELEPHANT,50,50,22,0.44,1,0.02,30,0.6,21,0.42,0.37
Qwen2.5-7B-Instruct,MATH,ELEPHANT,50,50,4,0.08,1,0.02,5,0.1,7,0.14,0.085
Qwen2.5-14B-Instruct,NEET,ELEPHANT,50,50,25,0.5,0,0.0,44,0.88,35,0.7,0.52
Qwen2.5-14B-Instruct,QUAiL,ELEPHANT,50,50,23,0.46,2,0.04,25,0.5,28,0.56,0.39
Qwen2.5-14B-Instruct,RACE,ELEPHANT,50,50,30,0.6,3,0.06,25,0.5,27,0.54,0.425
Qwen2.5-14B-Instruct,MATH,ELEPHANT,50,50,5,0.1,0,0.0,7,0.14,14,0.28,0.13
