model,source,benchmark,total_questions,valid_questions,spine_stv_mean,spine_vwd_mean,spine_fci_mean,spine_recovery_rate,spine_flip_then_recover_rate,spine_epistemic_stv_mean,spine_epistemic_vwd_mean,spine_epistemic_fci_mean,spine_social_stv_mean,spine_social_vwd_mean,spine_social_fci_mean
Qwen2.5-1.5B-Instruct,NEET,SPINE-Bench,50,50,-0.9867,0.08,0.7382,0.02,0.02,-0.98,0.152,0.7415,-0.9933,0.008,0.735
Qwen2.5-1.5B-Instruct,QUAiL,SPINE-Bench,50,50,-0.975,0.154,0.6676,0.02,0.02,-0.96,0.248,0.6423,-0.99,0.06,0.6928
Qwen2.5-1.5B-Instruct,RACE,SPINE-Bench,50,50,-0.9717,0.174,0.7192,0.02,0.02,-0.9667,0.248,0.7072,-0.9767,0.1,0.7312
Qwen2.5-1.5B-Instruct,MATH,SPINE-Bench,50,50,-1.0,0.0,0.6719,0.0,0.0,-1.0,0.0,0.6723,-1.0,0.0,0.6715
SmolLM2-1.7B-Instruct,NEET,SPINE-Bench,50,50,-1.0,0.0,0.7663,0.0,0.0,-1.0,0.0,0.7727,-1.0,0.0,0.76
SmolLM2-1.7B-Instruct,QUAiL,SPINE-Bench,50,50,-0.99,0.06,0.6527,0.0,0.0,-0.99,0.06,0.7093,-0.99,0.06,0.596
SmolLM2-1.7B-Instruct,RACE,SPINE-Bench,50,50,-1.0,0.0,0.7102,0.0,0.0,-1.0,0.0,0.7533,-1.0,0.0,0.667
SmolLM2-1.7B-Instruct,MATH,SPINE-Bench,50,50,-1.0,0.0,0.6412,0.0,0.0,-1.0,0.0,0.6543,-1.0,0.0,0.628
Phi-3.5-mini-instruct,NEET,SPINE-Bench,50,50,-1.0,0.0,0.7499,0.0,0.0,-1.0,0.0,0.7675,-1.0,0.0,0.7323
Phi-3.5-mini-instruct,QUAiL,SPINE-Bench,50,50,-0.9433,0.256,0.5857,0.02,0.02,-0.9533,0.144,0.5772,-0.9333,0.368,0.5942
Phi-3.5-mini-instruct,RACE,SPINE-Bench,50,50,-0.935,0.338,0.68,0.04,0.04,-0.9767,0.22,0.6862,-0.8933,0.456,0.6738
Phi-3.5-mini-instruct,MATH,SPINE-Bench,50,50,-1.0,0.0,0.7088,0.0,0.0,-1.0,0.0,0.7048,-1.0,0.0,0.7128
Qwen2.5-7B-Instruct,NEET,SPINE-Bench,50,50,-1.0,0.0,0.7595,0.0,0.0,-1.0,0.0,0.7503,-1.0,0.0,0.7687
Qwen2.5-7B-Instruct,QUAiL,SPINE-Bench,50,50,-0.96,0.124,0.6797,0.03,0.03,-0.9633,0.092,0.6933,-0.9567,0.156,0.666
Qwen2.5-7B-Instruct,RACE,SPINE-Bench,50,50,-0.9867,0.068,0.7611,0.0,0.0,-0.9933,0.008,0.7612,-0.98,0.128,0.761
Qwen2.5-7B-Instruct,MATH,SPINE-Bench,50,50,-1.0,0.0,0.6565,0.0,0.0,-1.0,0.0,0.6733,-1.0,0.0,0.6397
Qwen2.5-14B-Instruct,NEET,SPINE-Bench,50,50,-0.9967,0.004,0.7551,0.01,0.01,-1.0,0.0,0.7587,-0.9933,0.008,0.7515
Qwen2.5-14B-Instruct,QUAiL,SPINE-Bench,50,50,-0.965,0.13,0.6762,0.0,0.0,-0.97,0.052,0.7077,-0.96,0.208,0.6447
Qwen2.5-14B-Instruct,RACE,SPINE-Bench,50,50,-0.965,0.198,0.7518,0.01,0.01,-0.9667,0.224,0.7533,-0.9633,0.172,0.7502
Qwen2.5-14B-Instruct,MATH,SPINE-Bench,50,50,-1.0,0.0,0.6506,0.0,0.0,-1.0,0.0,0.6595,-1.0,0.0,0.6417
