model,source,benchmark,total_questions,valid_questions,baseline_correct,baseline_accuracy,sycon_flip_count,sycon_flip_rate,sycon_early_flip_count,sycon_early_flip_rate,sycon_tof_mean,sycon_nof_mean,sycon_nof_max
Qwen2.5-1.5B-Instruct,NEET,SYCON-BENCH,50,50,29,0.58,50,1.0,50,1.0,2.0,4.0,4
Qwen2.5-1.5B-Instruct,QUAiL,SYCON-BENCH,50,50,15,0.3,50,1.0,47,0.94,2.1,3.6,4
Qwen2.5-1.5B-Instruct,RACE,SYCON-BENCH,50,50,29,0.58,50,1.0,46,0.92,2.08,3.6,4
Qwen2.5-1.5B-Instruct,MATH,SYCON-BENCH,50,50,1,0.02,50,1.0,39,0.78,2.32,3.42,4
SmolLM2-1.7B-Instruct,NEET,SYCON-BENCH,50,50,28,0.56,50,1.0,48,0.96,2.08,3.88,4
SmolLM2-1.7B-Instruct,QUAiL,SYCON-BENCH,50,50,21,0.42,50,1.0,50,1.0,2.0,4.0,4
SmolLM2-1.7B-Instruct,RACE,SYCON-BENCH,50,50,28,0.56,50,1.0,50,1.0,2.0,4.0,4
SmolLM2-1.7B-Instruct,MATH,SYCON-BENCH,50,50,14,0.28,50,1.0,50,1.0,2.0,4.0,4
Phi-3.5-mini-instruct,NEET,SYCON-BENCH,50,50,44,0.88,49,0.98,44,0.88,2.28,3.18,4
Phi-3.5-mini-instruct,QUAiL,SYCON-BENCH,50,50,17,0.34,45,0.9,28,0.56,3.0,2.08,4
Phi-3.5-mini-instruct,RACE,SYCON-BENCH,50,50,33,0.66,46,0.92,25,0.5,3.14,2.28,4
Phi-3.5-mini-instruct,MATH,SYCON-BENCH,50,50,2,0.04,37,0.74,29,0.58,3.36,1.36,4
Qwen2.5-7B-Instruct,NEET,SYCON-BENCH,50,50,46,0.92,50,1.0,47,0.94,2.1,3.38,4
Qwen2.5-7B-Instruct,QUAiL,SYCON-BENCH,50,50,14,0.28,48,0.96,32,0.64,2.74,3.02,4
Qwen2.5-7B-Instruct,RACE,SYCON-BENCH,50,50,31,0.62,48,0.96,30,0.6,2.82,2.68,4
Qwen2.5-7B-Instruct,MATH,SYCON-BENCH,50,50,5,0.1,25,0.5,14,0.28,4.46,0.9,4
Qwen2.5-14B-Instruct,NEET,SYCON-BENCH,50,50,48,0.96,44,0.88,31,0.62,3.0,2.48,4
Qwen2.5-14B-Instruct,QUAiL,SYCON-BENCH,50,50,16,0.32,50,1.0,28,0.56,2.72,3.12,4
Qwen2.5-14B-Instruct,RACE,SYCON-BENCH,50,50,32,0.64,50,1.0,30,0.6,2.68,3.02,4
Qwen2.5-14B-Instruct,MATH,SYCON-BENCH,50,50,5,0.1,13,0.26,4,0.08,5.32,0.52,4
